id,customer_id,order_date,total_amount,status
1,3855,5/26/2024 17:25,576.72,processing
2,3654,11/19/2024 23:46,1488.1,pending
3,3791,5/25/2024 10:20,3561.47,cancelled
4,140,2/24/2025 13:03,2958.96,pending
5,4476,7/29/2024 2:22,6025.56,processing
6,646,3/2/2025 7:31,6783.29,processing
7,2474,10/27/2024 9:51,8964.67,cancelled
8,696,6/10/2024 3:03,3445.82,pending
9,239,5/23/2024 12:49,2801.88,processing
10,3106,6/28/2024 16:01,2904.66,pending
11,4088,12/25/2024 18:00,4960.75,processing
12,2672,2/13/2025 22:17,2516.79,delivered
13,3568,9/20/2024 20:32,1926.56,delivered
14,3726,10/7/2024 5:49,748.28,cancelled
15,957,2/2/2025 22:25,5890.23,cancelled
16,3639,9/8/2024 9:03,799.02,shipped
17,1491,1/18/2025 8:47,7802.34,pending
18,280,5/30/2024 20:16,3287.52,processing
19,238,8/31/2024 4:02,5933.76,processing
20,1090,10/21/2024 10:56,237.42,shipped
21,605,12/16/2024 0:29,906.18,delivered
22,4470,4/13/2025 18:38,2987.16,pending
23,1113,4/5/2025 3:13,4467.24,processing
24,3656,4/16/2025 0:55,7760.87,pending
25,430,8/25/2024 5:07,9075.07,delivered
26,4970,8/13/2024 7:28,2654.76,delivered
27,386,4/22/2025 4:30,1373.94,cancelled
28,3000,6/27/2024 21:19,3277.01,delivered
29,164,6/3/2024 18:42,5237.12,delivered
30,3606,4/24/2025 21:18,87.36,shipped
31,3770,6/24/2024 3:06,1225.28,cancelled
32,2590,2/22/2025 9:10,939.86,processing
33,1367,5/7/2024 17:20,5938.74,shipped
34,1037,9/10/2024 17:43,7239.77,pending
35,3750,8/17/2024 6:30,7440.49,delivered
36,4502,1/4/2025 0:24,4123.81,delivered
37,2532,8/31/2024 7:52,7297.69,shipped
38,443,2/8/2025 23:21,4186.08,cancelled
39,2878,11/25/2024 3:05,8508.08,shipped
40,3395,7/21/2024 10:35,2136.45,delivered
41,4474,6/22/2024 11:00,8443.39,shipped
42,419,12/17/2024 10:07,2688.05,delivered
43,4478,1/9/2025 17:50,3818.76,cancelled
44,4884,12/19/2024 10:08,3031.15,processing
45,1185,9/11/2024 13:49,4671.69,shipped
46,3558,7/20/2024 4:40,3184.85,cancelled
47,4746,11/4/2024 18:11,1613.68,cancelled
48,3929,5/17/2024 11:05,1379.54,pending
49,1775,12/13/2024 14:56,231.44,processing
50,710,2/18/2025 21:17,1303.81,shipped
51,1096,8/26/2024 22:16,2327.85,processing
52,1262,6/7/2024 14:29,3579.42,pending
53,3879,11/22/2024 16:32,5510.8,shipped
54,573,11/8/2024 4:59,15640.5,processing
55,719,3/2/2025 2:09,4757.01,shipped
56,1507,12/7/2024 12:43,3986.05,processing
57,1158,1/28/2025 11:31,5118.81,delivered
58,3443,8/16/2024 22:18,3355.68,pending
59,2130,12/16/2024 3:45,6015.62,delivered
60,272,11/23/2024 20:58,82.08,cancelled
61,3324,9/25/2024 3:33,9199,delivered
62,2106,9/22/2024 11:47,7773.95,delivered
63,2548,4/6/2025 1:01,624.32,pending
64,407,5/21/2024 21:56,869.12,shipped
65,3572,8/14/2024 3:22,7828.73,processing
66,3017,5/4/2024 23:54,857.55,cancelled
67,957,9/7/2024 11:19,6328.36,delivered
68,674,6/26/2024 0:59,5003.52,shipped
69,2727,7/6/2024 4:11,1244.89,shipped
70,615,4/28/2025 11:36,854.16,cancelled
71,2847,12/23/2024 9:32,5484.16,cancelled
72,3894,3/10/2025 23:44,7380.36,pending
73,831,6/10/2024 13:31,2236.42,delivered
74,4633,5/11/2024 8:55,3529.03,cancelled
75,2820,2/4/2025 18:33,5988.71,pending
76,477,9/6/2024 7:56,1867.06,cancelled
77,2730,11/20/2024 1:04,6493.17,pending
78,4007,11/10/2024 8:14,7932.94,pending
79,2779,8/4/2024 22:08,8120.95,shipped
80,3457,3/28/2025 19:37,6483.49,cancelled
81,2870,2/24/2025 0:41,239.26,delivered
82,2814,10/20/2024 2:48,1281.6,processing
83,635,3/30/2025 9:54,13878.5,shipped
84,1640,12/4/2024 23:41,9101.34,pending
85,486,2/4/2025 5:28,6943.6,delivered
86,3146,3/16/2025 10:50,11694.4,delivered
87,4985,3/12/2025 0:03,3942.15,processing
88,361,4/7/2025 9:50,4190.66,cancelled
89,2444,7/9/2024 5:15,2520.88,cancelled
90,4008,12/1/2024 5:22,4932.13,delivered
91,3636,6/19/2024 3:31,611.82,shipped
92,1688,5/19/2024 3:57,4848.41,delivered
93,2185,7/21/2024 18:51,13507.1,processing
94,4386,8/16/2024 0:02,2644.07,delivered
95,24,1/27/2025 23:57,3906.85,shipped
96,4504,11/16/2024 9:07,7843.32,cancelled
97,1390,6/15/2024 11:17,3933.47,pending
98,3409,7/25/2024 20:43,196.12,shipped
99,535,10/5/2024 10:08,4945.91,cancelled
100,3501,4/28/2025 16:50,12132,pending
101,2604,6/25/2024 19:23,5223.98,delivered
102,2085,3/27/2025 22:19,4280.94,delivered
103,146,3/11/2025 1:37,143.34,cancelled
104,2345,7/31/2024 4:53,8356.39,delivered
105,1207,10/12/2024 19:13,1689.61,delivered
106,3628,4/22/2025 4:52,4298.56,processing
107,2732,6/5/2024 7:35,4589.13,pending
108,3730,10/4/2024 23:38,3918.12,shipped
109,2840,4/19/2025 9:28,731.51,pending
110,4492,12/5/2024 18:59,842.56,pending
111,2504,11/9/2024 12:44,930.66,processing
112,4164,9/20/2024 20:38,7669.04,delivered
113,365,9/17/2024 5:26,4876.45,shipped
114,657,7/5/2024 11:48,3432.36,processing
115,1703,2/18/2025 18:12,5911.24,pending
116,4726,9/6/2024 17:36,4152.22,shipped
117,2726,10/19/2024 21:21,10174.8,delivered
118,81,6/16/2024 4:36,2212.98,processing
119,2917,12/7/2024 14:20,731.6,delivered
120,52,3/2/2025 22:41,2029.7,cancelled
121,3176,4/3/2025 11:26,5479.75,processing
122,1527,3/20/2025 14:46,108.21,cancelled
123,880,12/4/2024 13:20,3415.36,shipped
124,4476,3/1/2025 20:30,10291.7,cancelled
125,3873,2/18/2025 20:06,3453.61,cancelled
126,4674,5/19/2024 19:59,510.91,cancelled
127,2430,5/5/2024 3:43,2943.03,delivered
128,766,4/24/2025 17:52,10926.1,processing
129,859,4/24/2025 10:12,6697.09,cancelled
130,185,12/20/2024 21:47,3896.82,shipped
131,1034,3/23/2025 3:04,913.94,delivered
132,725,2/26/2025 13:35,6117.26,delivered
133,1999,7/19/2024 21:22,1448.46,delivered
134,2935,6/19/2024 16:00,579.78,processing
135,2667,11/4/2024 23:55,1664.68,delivered
136,718,7/25/2024 4:45,8555.59,processing
137,2351,9/30/2024 4:57,3938.93,shipped
138,1735,5/7/2024 1:25,8328.01,shipped
139,875,10/10/2024 8:53,2323.83,delivered
140,1495,7/14/2024 19:00,6377.18,delivered
141,3081,4/17/2025 3:51,650.73,pending
142,2701,1/18/2025 2:20,653.86,pending
143,4342,9/25/2024 20:40,9339.12,processing
144,2988,1/14/2025 1:46,737.7,processing
145,1305,6/13/2024 13:16,1498.06,pending
146,4449,8/13/2024 19:42,3949.44,shipped
147,1017,3/29/2025 17:06,7929.77,cancelled
148,4220,9/28/2024 15:49,7546.85,shipped
149,3755,12/22/2024 10:47,3460.49,shipped
150,3705,10/31/2024 4:13,6587.19,delivered
151,1897,6/14/2024 13:30,6202.25,processing
152,270,2/7/2025 12:40,3082.92,processing
153,1926,10/19/2024 6:05,10915.5,shipped
