id,product_id,quantity,movement_type,movement_date
1,1,449,purchase,6/11/2024 9:03
2,1,5,sale,2/13/2025 13:16
3,1,4,sale,6/13/2024 16:27
4,1,3,sale,5/14/2024 20:18
5,1,5,sale,1/31/2025 18:21
6,1,3,sale,3/24/2025 7:37
7,1,3,sale,10/5/2024 14:27
8,1,4,sale,5/18/2024 17:06
9,1,2,sale,6/20/2024 8:08
10,1,3,sale,2/9/2025 22:05
11,1,1,sale,2/15/2025 22:41
12,1,1,sale,12/23/2024 7:20
13,1,3,sale,8/14/2024 20:09
14,1,1,sale,9/15/2024 0:36
15,1,4,sale,2/6/2025 20:00
16,1,1,sale,1/29/2025 21:14
17,1,2,sale,4/8/2025 11:44
18,1,5,sale,6/3/2024 1:02
19,1,5,sale,4/1/2025 6:27
20,1,1,sale,7/10/2024 19:08
21,1,2,sale,10/24/2024 18:50
22,1,5,sale,4/6/2025 18:18
23,1,4,sale,9/13/2024 19:17
24,1,5,sale,11/26/2024 9:52
25,1,3,sale,4/27/2025 8:40
26,2,270,purchase,5/28/2024 19:14
27,2,5,sale,12/4/2024 23:41
28,2,4,sale,2/13/2025 0:18
29,2,3,sale,5/28/2024 5:04
30,2,1,sale,2/24/2025 3:15
31,2,1,sale,4/22/2025 17:18
32,2,3,sale,1/30/2025 16:52
33,2,2,sale,10/18/2024 13:41
34,2,3,sale,5/25/2024 4:54
35,2,2,sale,6/22/2024 1:34
36,2,5,sale,5/1/2025 6:24
37,2,3,sale,8/29/2024 8:45
38,2,1,sale,10/15/2024 19:07
39,2,5,sale,10/30/2024 1:55
40,2,5,sale,3/18/2025 3:24
41,2,5,sale,7/29/2024 14:13
42,2,2,sale,6/30/2024 3:19
43,2,3,sale,9/7/2024 23:58
44,2,5,sale,11/11/2024 12:52
45,2,4,sale,7/17/2024 20:02
46,2,2,sale,2/15/2025 20:54
47,2,3,sale,7/18/2024 0:13
48,2,1,sale,7/21/2024 7:15
49,2,2,sale,11/21/2024 1:04
50,2,5,sale,3/9/2025 3:42
51,2,4,sale,1/1/2025 16:42
52,2,2,sale,2/1/2025 1:57
53,2,1,sale,5/7/2024 3:46
54,2,4,sale,11/2/2024 16:04
55,2,1,sale,4/10/2025 6:30
56,3,145,purchase,4/30/2025 1:10
57,3,1,sale,12/2/2024 11:09
58,3,4,sale,8/10/2024 7:15
59,3,2,sale,5/6/2024 13:21
60,3,4,sale,3/29/2025 15:03
61,3,4,sale,1/26/2025 8:36
62,3,5,sale,3/24/2025 2:46
63,3,2,sale,11/6/2024 10:33
64,3,2,sale,8/31/2024 1:22
65,3,4,sale,6/13/2024 2:23
66,3,5,sale,6/28/2024 7:34
67,3,4,sale,4/11/2025 7:58
68,3,3,sale,6/29/2024 17:51
69,3,5,sale,9/4/2024 1:23
70,3,1,sale,11/3/2024 4:50
71,3,1,sale,3/6/2025 23:09
72,3,4,sale,4/20/2025 23:05
73,3,1,sale,4/3/2025 22:13
74,3,2,sale,5/26/2024 16:25
75,3,3,sale,7/11/2024 12:46
76,3,4,sale,7/27/2024 9:09
77,3,4,sale,3/13/2025 19:05
78,3,5,sale,11/28/2024 23:10
79,3,3,sale,2/19/2025 9:48
80,3,3,sale,9/15/2024 11:22
81,3,3,sale,4/4/2025 2:23
82,4,608,purchase,4/16/2025 13:09
83,4,2,sale,9/19/2024 20:26
84,4,2,sale,6/2/2024 12:36
85,4,5,sale,8/12/2024 10:24
86,4,1,sale,1/23/2025 21:25
87,4,4,sale,9/17/2024 21:02
88,4,4,sale,8/26/2024 23:14
89,4,2,sale,9/20/2024 0:12
90,4,2,sale,11/19/2024 21:17
91,4,3,sale,10/26/2024 21:30
92,4,4,sale,9/20/2024 12:25
93,4,5,sale,9/29/2024 10:18
94,4,2,sale,8/6/2024 11:17
95,4,3,sale,3/14/2025 12:00
96,4,1,sale,3/15/2025 22:15
97,4,4,sale,8/26/2024 23:34
98,4,2,sale,3/20/2025 5:06
99,4,3,sale,12/24/2024 18:38
100,4,3,sale,8/19/2024 1:04
101,4,2,sale,4/7/2025 12:26
102,4,3,sale,3/21/2025 19:47
103,4,3,sale,4/25/2025 13:28
104,4,1,sale,12/30/2024 0:02
105,4,1,sale,2/19/2025 16:17
106,4,5,sale,5/27/2024 2:20
107,4,2,sale,7/12/2024 22:24
108,4,3,sale,7/26/2024 16:38
109,4,5,sale,1/19/2025 4:17
110,4,1,sale,5/22/2024 12:14
111,5,763,purchase,1/4/2025 16:13
112,5,4,sale,10/13/2024 5:37
113,5,3,sale,12/23/2024 9:50
114,5,5,sale,10/21/2024 14:26
115,5,5,sale,7/25/2024 16:22
116,5,2,sale,4/22/2025 3:21
117,5,5,sale,6/7/2024 23:07
