id,customer_id,product_id,added_date
1,1,75,2/7/2025 9:02
2,1,663,8/4/2024 21:43
3,1,601,12/29/2024 10:04
4,1,509,9/12/2024 22:37
5,1,729,8/22/2024 12:49
6,1,912,5/2/2025 11:42
7,1,172,6/23/2024 0:40
8,2,625,5/30/2024 19:55
9,2,324,10/1/2024 20:35
10,2,398,9/13/2024 21:18
11,2,604,10/2/2024 17:38
12,2,33,9/28/2024 19:33
13,2,542,6/26/2024 15:56
14,2,217,3/17/2025 23:50
15,2,112,1/7/2025 20:12
16,2,439,6/22/2024 23:39
17,4,177,12/13/2024 9:46
18,4,400,12/5/2024 11:40
19,4,899,5/2/2025 3:20
20,4,729,8/10/2024 6:37
21,4,169,10/18/2024 14:55
22,4,433,7/15/2024 14:17
23,4,153,10/7/2024 18:25
24,4,86,11/5/2024 0:52
25,9,410,1/6/2025 2:39
26,9,239,3/3/2025 16:41
27,9,852,12/7/2024 12:42
28,11,280,3/7/2025 10:06
29,11,244,8/6/2024 19:38
30,11,588,3/27/2025 5:32
31,11,720,11/18/2024 4:30
32,12,183,1/18/2025 4:50
33,12,713,10/10/2024 23:55
34,12,325,7/18/2024 4:32
35,14,547,11/3/2024 21:14
36,14,142,1/2/2025 11:03
37,14,394,7/15/2024 19:49
38,14,214,3/8/2025 23:33
39,18,269,4/29/2025 8:47
40,18,529,11/10/2024 8:23
41,18,183,10/5/2024 20:02
42,18,497,3/22/2025 7:16
43,18,1000,4/14/2025 23:42
44,18,874,2/1/2025 16:18
45,18,411,4/4/2025 22:37
46,18,629,11/16/2024 0:58
47,19,634,9/2/2024 14:47
48,19,181,1/17/2025 11:58
49,19,677,9/21/2024 1:05
50,19,433,1/19/2025 6:15
51,19,306,5/25/2024 16:19
52,19,107,3/16/2025 17:48
53,21,878,9/14/2024 13:49
54,21,395,6/28/2024 2:51
55,21,34,12/23/2024 13:55
56,21,915,9/8/2024 7:18
57,21,129,2/27/2025 12:15
58,21,883,3/5/2025 23:41
59,21,771,6/5/2024 2:49
60,21,493,4/7/2025 16:55
61,22,786,2/26/2025 23:48
62,22,757,1/19/2025 9:26
63,24,92,6/1/2024 16:11
64,24,709,3/14/2025 20:30
65,24,354,4/24/2025 22:20
66,27,988,8/20/2024 15:32
67,27,752,11/12/2024 14:43
68,27,845,7/28/2024 15:25
69,27,984,2/24/2025 18:02
70,27,116,5/19/2024 15:50
71,27,708,12/7/2024 3:30
72,28,329,4/18/2025 6:36
73,28,699,1/15/2025 13:39
74,28,200,1/12/2025 19:05
75,28,213,1/22/2025 16:40
76,28,218,7/3/2024 10:44
77,28,283,9/25/2024 12:38
78,28,401,5/27/2024 6:37
79,28,67,12/16/2024 18:01
80,28,889,4/27/2025 6:55
81,28,216,2/22/2025 14:07
82,30,67,10/6/2024 0:20
83,30,283,4/6/2025 19:56
84,30,551,2/25/2025 14:15
85,30,576,10/24/2024 16:26
86,30,978,10/23/2024 17:48
87,30,833,7/22/2024 18:51
88,30,215,1/20/2025 0:18
89,30,162,3/23/2025 5:10
90,32,357,12/8/2024 12:08
91,32,619,1/27/2025 16:34
92,32,781,2/5/2025 19:30
93,32,531,4/12/2025 10:52
94,32,739,10/22/2024 22:55
95,32,975,9/5/2024 6:57
96,32,958,8/16/2024 13:36
97,32,811,4/30/2025 9:19
98,32,375,11/15/2024 20:59
99,32,548,7/11/2024 14:37
100,36,438,12/23/2024 14:29
101,36,639,7/24/2024 3:39
102,36,202,2/19/2025 22:50
103,36,655,11/8/2024 1:01
104,36,379,10/21/2024 12:30
105,36,921,4/6/2025 14:04
106,36,3,7/19/2024 7:15
107,36,776,10/6/2024 19:11
108,36,820,1/18/2025 11:49
109,36,52,4/11/2025 12:38
110,42,400,8/30/2024 9:10
111,42,148,12/15/2024 23:41
112,43,457,2/20/2025 13:07
113,43,642,5/10/2024 2:32
114,43,504,5/13/2024 14:05
115,43,275,1/11/2025 9:49
116,43,955,12/3/2024 22:02
117,43,219,5/16/2024 1:58
118,43,258,10/20/2024 23:58
119,43,114,7/22/2024 11:51
120,45,94,3/13/2025 10:29
121,45,177,10/27/2024 17:56
122,45,369,9/11/2024 17:19
123,45,914,3/25/2025 7:26
124,55,838,11/22/2024 18:59
125,57,361,6/18/2024 19:32
126,57,848,9/21/2024 9:32
127,57,953,4/19/2025 22:08
128,57,513,12/8/2024 7:18
129,57,625,12/31/2024 20:12
130,57,81,6/22/2024 9:23
131,57,426,5/23/2024 21:42
